date,value
2005-01-01,235
2006-01-01,235
2007-01-01,235
2008-01-01,228
2009-01-01,228
2010-01-01,221
2011-01-01,217
2012-01-01,210
2013-01-01,205
2014-01-01,203
2015-01-01,204
2016-01-01,206
2017-01-01,206
