date,value
2005-01-01,143
2006-01-01,143
2007-01-01,143
2008-01-01,145
2009-01-01,145
2010-01-01,160
2011-01-01,164
2012-01-01,129
2013-01-01,129
2014-01-01,159
2015-01-01,169
2016-01-01,174
2017-01-01,180
