date,value
2005-01-01,3055
2006-01-01,3055
2007-01-01,3055
2008-01-01,2986
2009-01-01,2986
2010-01-01,3095
2011-01-01,3018
2012-01-01,2290
2013-01-01,2235
2014-01-01,2844
2015-01-01,2860
2016-01-01,2886
2017-01-01,2909
