date,value
2005-01-01,1603
2006-01-01,1603
2007-01-01,1603
2008-01-01,1635
2009-01-01,1635
2010-01-01,1697
2011-01-01,1691
2012-01-01,1600
2013-01-01,1601
2014-01-01,1678
2015-01-01,1690
2016-01-01,1709
2017-01-01,1717
