date,value
2005-01-01,1514
2006-01-01,1514
2007-01-01,1514
2008-01-01,1659
2009-01-01,1659
2010-01-01,1540
2011-01-01,1557
2012-01-01,1664
2013-01-01,1745
2014-01-01,1773
2015-01-01,1835
2016-01-01,1862
2017-01-01,1957
