date,value
2005-01-01,4.3
2006-01-01,4.3
2007-01-01,4.3
2008-01-01,4.3
2009-01-01,4.3
2010-01-01,4.4
2011-01-01,4.4
2012-01-01,4.3
2013-01-01,4.3
2014-01-01,4.6
2015-01-01,4.6
2016-01-01,4.6
2017-01-01,4.7
