date,value
2005-01-01,10.1
2006-01-01,10.1
2007-01-01,10.1
2008-01-01,9.8
2009-01-01,9.8
2010-01-01,9.5
2011-01-01,9.4
2012-01-01,9.1
2013-01-01,8.8
2014-01-01,8.8
2015-01-01,8.8
2016-01-01,8.9
2017-01-01,8.9
